448562	Eleutherodactylus batrachylus
76328	Agaricus terreus
2012942	Percis alboguttata
2744343	Batrachospermum sp. 1 MLV-2013
1226422	Plasmodium falciparum P.fal.MLW.2979
3029817	Stenomax incultus
246332	Melania perfecta var. wallacei
1461022	Zeylanidium barberi
351498	Oxypoda waterhousei
415447	uncultured marine microorganism HF10_49E08
1002796	Sycobius cassini
169066	Human rhinovirus
1592901	Maurohelix olcesei
429512	Parsonsia balansae
3068592	Dipoena hainanensis
2613298	Naupactus formosus
53345	Streptococcus durans
218120	Human adenovirus type 49
390794	Pleurococcus regularis
1341272	Mamestra mortua
1552677	Priocnemella rufothorax
1107904	Adiantum pauperculum
1184253	Anaplasma phagocytophilum HZ2
195290	Pristis cuspidatus
2699718	Cydistus minor
2867596	Orthotylus vigilax
1651173	Icmadophila eucalypti
174519	Hebeandra hirta
188290	Drosophila obesa
1070234	Hypnum pseudosarmentosum
864564	Parascardovia denticolens DSM 10105
3190031	Cyrena bengalensis
464027	Justicia medrani
1492888	Nectarinia bouvieri
466224	Hedysarum hirtum
52508	Azorella caespitosa
29154	Perca undulata
261896	Chthamalus scabrosus
460128	Kallima ansorgei
348688	Potosia (Liocola) brevitarsis
353975	Distictis granulosa
1555726	Liodes stilbiata
344664	Placidula
2861860	Rallus philippensis
83733	Orites lancifolia
1767028	Apera lawrencei
2861181	Cheraps aruanus
2710100	Cerionesta leucoprocta
1547806	Ixora spiranthera
2854872	Synchloe tulita
3035466	Kinosternon consors
1775297	Sinopotamon bilobatum
249258	Macrobrachium birai
2840554	Onthovivens
272339	Eretmocerinae
3300175	Macrolaimus inermis
54273	Miltogrammatinae
1775280	Candida aff. zemplinina CzB29
4846	Rhizopus nigricans
3051628	Carnivore amdoparvovirus 5
1806	Mycobacterium microti
284746	Mesops agassizii
869535	Cicindela cognata
1117955	Pseudomonas extremaustralis str. 14-3
1734866	Noctua coniuncta
699185	Enterococcus faecalis str. S613
104073	Limnodynastes spenceri
1934707	Buccinum antillarum
2979021	Pirates xanthopus
288408	Bembix americana spinolae
3060952	Ocenebra angolensis
266178	Eucharis rapo
379796	Miletus miskini
39129	Influenza A virus (strain A/equine/Kentucky/1/94)
1241975	Procinura aemula
396359	Clostridium perfringens phage phiSM101
305979	Salamandra terdigitata
762188	Gymnocalycium saglione subsp. tilcarense
1686693	Aranea tincta
1742600	Agaricus marzuolus
1002286	Influenza A virus (A/South Africa/2205/2009(H1N1))
1487332	Boletus rufoaureus
2887106	Atheta piligera
2919342	Desmonostoc sp. CSM 011-B
3234017	Symbiodolus clandestinus
1097877	Antaeotricha Janzen106
2607411	Laboulbenia coneglanensis Speg., 1914
2767413	Synallaxis coryi
762277	Caecomastacembelus frenatus
269084	Synechococcus nidulans NIVA-CYA 20
1179199	Acacia hereroensis
379118	Leontodon carpetanus subsp. nevadensis
1607932	Celaenorrhinus perlustris mona
2340837	Tryphosa carinata
1263929	Bathosomyia abnormalis
480375	Cleophora lontaroides
1178833	Eupenicillium philippinense
443061	Ophrys fuciflora subsp. oxyrrhynchos
1258627	Astrophyton nudum
1903076	Aeschynomene mollicula
767806	Enterococcus faecalis bacteriophage EFRM31
1055479	Notholaena pilifera
1497020	Chroococcales cyanobacterium sy1
2810487	Cupido elicola
184138	Cucurbita okeechobeensis ssp. martinezii
3052751	Torque teno pinniped virus 6
2895774	Albuca toxicaria
596734	Neolycaena kasakhstana
1034940	Isobeggiatoa divolgata
185223	Cynanchum savannarum
2259123	Tudicla armigera
138072	Candidatus Consessoris aphidicola" Darby et al. 2005
1603353	Mokoshia psychrophila
749642	Phyllosticta adianticola
860205	Neckera baetica
2733403	Cirrhilabrus cf. cyanopleura YKT-2020
314393	Nardus indica
1051123	Clavaria corallinorosacea
295260	Asterochloris photobiont MN749
1470356	Clostridium anorexicamassiliense
1649029	Xystocheir cooki
3082036	Gnaphalium subdecurrens
42900	unidentified eumycete clone 166r6
457501	Farysizyma sp. UWOPS 07JM-104.2
515617	Mycobacterium tuberculosis str. T92
596313	Cephea papua
272241	Zimmermannella alba Lin et al. 2004
1334555	Lycoperdon corticale
2138469	Callipogon monnei
129004	Ebola virus strain Reston Siena/Philippine-92
2566676	Tortrix cana
642806	Solemya pervernicosa Kuroda, 1948
2268605	Caeruleuptychia brixius
531917	Mimetes cucullata
2183843	Garrulax formosus
553	Pantoea ananas
1271439	Vasilyevaea sp. ISO907_OTU1577
381421	'Weissella salipiscis'
195750	'Geotoga aestuarianus'
993158	Adoxophyes sp. 3 SEM-2011
996870	Karstenia sublilacina
1040947	Cestraeus oxyrhynchus
53367	Catellatispora ferruginea
762164	Echinocactus multiflorus
2893837	Gardenia campanulata
3383119	Meriandra strobilifera
2712997	Helops foraminosus
119955	Stemphylium alternariae
1641268	Hedysarum mongolicum
141898	Norops lemurinus
152302	Griphosphaeria corticola
614637	Lucanus caprea
879032	Rhynchites caeruleus
483362	Chaetodon lineatus
2305125	Milesia floccosa
448405	Syrrhophus leprus
990223	Rhinogobius decoratus
103837	Microtetraspora roseoviolacea
158755	unidentified cytophagales
53750	Brauneria paradoxa
1506243	Wittrockia paulistana
2696776	Iphthimus italicus
1141098	Leiosphaerella vexata
368298	Bacillus sp. MN12
8759	Sistrurus barbouri
1973533	Graphiphora nigrosigna
475597	'Ilumomonas'
71015	Egernia luctuosa
909093	Paradidymella tosta
1191678	Rhizobium endolithicum
211502	Conchiformibium kuhniae
1377158	Arotrophora pirastis
1104178	unclassified Arctiinae
543902	Gymnopis parviceps
346787	Paederus brunnipes
64291	Israel turkey meningoencephalitis virus
2918770	Aedimorphus capensis
278938	Ovularia elliptica
629395	Bacteria
1206080	Caesalpinia dasyrhachis
1134146	Marlierea sucrei
2448448	Cocos weddelliana
248370	Senecio maroccanus
3132762	Phalaena dilectaria
859802	Dunaliella sp. CCAP 19/23
470423	Human hepatitis A virus (isolate H2)
289023	Africonus damottai
341102	Sinohomaloptera
42419	Halobacteroides chitinovorans
79647	Thalassogeron salvini
28911	Allium cepa var. ascalonicum
12413	Lactococcusphage phi7-9
1555694	Xylina ligniplena
273936	Aegus eschscholtzii laevicolle
1858053	Coccyx splendidulana
